Keywords,Word_appeared,tf_score,idf_score,tf_idf_together_score
java,135,0.005450801469697581,-4.90527477843843,-0.02673767897158267
int,104,0.004199135947026285,-4.6443908991413725,-0.01950242877662627
data,62,0.002503331045342593,-4.127134385045092,-0.01033158363438429
applet,57,0.0023014495094278676,-4.04305126783455,-0.009304878356949544
hi,56,0.002261073202244923,-4.02535169073515,-0.009101614837532539
object,53,0.0021399442806960874,-3.970291913552122,-0.008496203473099788
new,52,0.0020995679735131426,-3.951243718581427,-0.008295904767078541
basic,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
basics,49,0.0019784390519643072,-3.891820298110627,-0.007699729261009436
button,48,0.0019380627447813624,-3.871201010907891,-0.007502630456800532
code,44,0.0017765575160495822,-3.784189633918261,-0.006722830536294404
class,43,0.0017361812088666371,-3.7612001156935624,-0.006530124963654184
id,41,0.001655428594500747,-3.713572066704308,-0.006147553386961547
method,39,0.001574675980134857,-3.6635616461296463,-0.0057689225259036706
array,34,0.0013727944442201317,-3.5263605246161616,-0.0048409681365102555
use,32,0.0012920418298542416,-3.4657359027997265,-0.004477875757644901
string,32,0.0012920418298542416,-3.4657359027997265,-0.004477875757644901
call,27,0.0010901602939395163,-3.295836866004329,-0.003592990486619974
type,26,0.0010497839867565713,-3.258096538021482,-0.0034202975729219743
objects,26,0.0010497839867565713,-3.258096538021482,-0.0034202975729219743
serve,25,0.0010094076795736262,-3.2188758248682006,-0.0032491579772158524
public,24,0.0009690313723906812,-3.1780538303479458,-0.003079633864753531
point,24,0.0009690313723906812,-3.1780538303479458,-0.003079633864753531
reserve,24,0.0009690313723906812,-3.1780538303479458,-0.003079633864753531
rights,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
reserved,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
program,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
example,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
init,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
refer,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
comment,20,0.000807526143658901,-2.995732273553991,-0.002419132130297566
one,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
allocate,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
param,18,0.0007267735292930109,-2.890371757896165,-0.00210064568345504
pointer,18,0.0007267735292930109,-2.890371757896165,-0.00210064568345504
ack,17,0.0006863972221100658,-2.833213344056216,-0.001944709769005357
null,17,0.0006863972221100658,-2.833213344056216,-0.001944709769005357
return,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
define,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
const,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
void,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
port,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
ok,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
application,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
memory,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
types,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
language,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
ten,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
comments,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
primitive,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
expr,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
system,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
parameter,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
reference,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
make,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
variable,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
run,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
operator,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
element,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
time,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
may,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
value,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
browser,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
basicsjava,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
form,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
end,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
garbage,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
state,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
methods,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
two,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
following,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
defined,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
would,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
constant,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
file,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
applets,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
stack,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
runtime,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
byte,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
called,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
statement,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
boolean,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
main,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
ill,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
applications,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
collection,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
ints,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
definition,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
variables,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
programs,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
create,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
cause,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
style,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
source,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
size,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
contain,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
arrays,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
struct,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
args,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
bits,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
via,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
parameters,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
pointers,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
instance,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
table,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
draw,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
literal,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
foo,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
heap,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
equal,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
sizeof,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
thread,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
exception,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
